Airport.Code,Airport.Name,Airline.Name,Claim.Type,Claim.Site,Item,Claim.Amount,Status,Close.Amount
ABQ,Albuquerque International Sunport Airport,American Airlines,Property Damage,Checked Baggage,Other,25,Approved,25
ABQ,Albuquerque International Sunport Airport,America West,Property Damage,Checked Baggage,Other,79.95,Approved,79.95
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checkpoint,Cameras - Digital,1500,Settled,996.39
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Property Damage,Checked Baggage,Locks,570.4,Denied,0
ABQ,Albuquerque International Sunport Airport,UAL,Passenger Property Loss,Checked Baggage,Other,149,Settled,74.5
ABQ,Albuquerque International Sunport Airport,American Airlines,Passenger Property Loss,Checked Baggage,Currency,7,Approved,7
ABQ,Albuquerque International Sunport Airport,American Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),450,Settled,50
ABQ,Albuquerque International Sunport Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"Cosmetics - Perfume, toilet articles, medicines, soaps, etc.",300,Approved,300
ABQ,Albuquerque International Sunport Airport,America West,Property Damage,Checked Baggage,Other,35,Settled,17.5
ABQ,Albuquerque International Sunport Airport,Northwest Airlines,Property Damage,Checked Baggage,"Clothing - Shoes, belts, accessories, etc.",210,Settled,60
ABQ,Albuquerque International Sunport Airport,Continental Airlines,Property Damage,Checked Baggage,Cameras - Digital,56.1,Approved,56.1
ABQ,Albuquerque International Sunport Airport,UAL,Property Damage,Checked Baggage,Other,60.46,Settled,30.23
ABQ,Albuquerque International Sunport Airport,American Airlines,Passenger Property Loss,Checked Baggage,"Clothing - Shoes, belts, accessories, etc.",40,Approved,40
ABQ,Albuquerque International Sunport Airport,Continental Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),250,Settled,125
ABQ,Albuquerque International Sunport Airport,Delta Air Lines,Property Damage,Checked Baggage,Photographic Film,23.75,Denied,0
ABQ,Albuquerque International Sunport Airport,UAL,Property Damage,Checked Baggage,Luggage (all types including footlockers),250,Denied,0
ABQ,Albuquerque International Sunport Airport,American Airlines,Property Damage,Checked Baggage,Computer - Laptop,819.75,Approved,819.75
ABQ,Albuquerque International Sunport Airport,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),50,Approved,50
ABQ,Albuquerque International Sunport Airport,America West,Passenger Property Loss,Checked Baggage,Currency,102,Approved,102
ABQ,Albuquerque International Sunport Airport,American Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),300,Settled,150
ABQ,Albuquerque International Sunport Airport,UAL,Property Damage,Checked Baggage,Other,67.29,Settled,31.5
ABQ,Albuquerque International Sunport Airport,Delta Air Lines,Property Damage,Checked Baggage,Locks,189,Denied,0
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Property Damage,Checkpoint,Computer - Laptop,252.33,Approved,252
ABQ,Albuquerque International Sunport Airport,America West,Property Damage,Checked Baggage,Luggage (all types including footlockers),179.99,Settled,44
ABQ,Albuquerque International Sunport Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"Clothing - Shoes, belts, accessories, etc.",212,Settled,106
ABQ,Albuquerque International Sunport Airport,America West,Passenger Property Loss,Checked Baggage,"Clothing - Shoes, belts, accessories, etc.",85,Approved,85
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Property Damage,Checked Baggage,Other,200,Settled,100
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,"Clothing - Shoes, belts, accessories, etc.",200,Settled,100
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),119.99,Settled,92.5
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Property Damage,Checked Baggage,Other,335,Denied,0
ABQ,Albuquerque International Sunport Airport,Delta Air Lines,Property Damage,Checked Baggage,Other,50,Settled,25
